	topic	score
34	34	0.633071889298795
25	25	0.6256291305360557
23	23	0.6157782573910059
37	37	0.5954207504139897
49	49	0.5704479507321095
78	78	0.5502100093770699
11	11	0.5474256004800895
20	20	0.5279394569662926
9	9	0.5249349845283572
12	12	0.5239960115108986
35	35	0.5165198454222711
17	17	0.5114555107721466
65	65	0.49555332772429683
6	6	0.49452024496299607
10	10	0.49377318982450813
29	29	0.49164921401105677
70	70	0.48706327032145735
31	31	0.4824014068469033
32	32	0.47227122030029706
2	2	0.47061317304030303
3	3	0.4627949419693177
67	67	0.45110107875978056
18	18	0.44549867183844627
77	77	0.4447319592850648
72	72	0.44257911204955924
64	64	0.4413451687238849
38	38	0.4407869024902954
15	15	0.44062958482331915
30	30	0.43682213261431724
22	22	0.4202335974950736
75	75	0.4200203377783171
48	48	0.41567114336635413
19	19	0.41433143746808715
69	69	0.4121584088715891
55	55	0.4089759595705783
4	4	0.40878180479265447
60	60	0.40811518372337013
79	79	0.4057214810755033
74	74	0.404361654547682
54	54	0.394009449098106
36	36	0.36671842698036633
45	45	0.3648733351121979
8	8	0.3632950905883724
14	14	0.3616096058181207
66	66	0.35510716234628376
47	47	0.3477568846341735
50	50	0.3454535352226372
28	28	0.34347713820857095
1	1	0.3417274576449424
39	39	0.3339672800423986
41	41	0.3314126509061185
68	68	0.32972196958768757
58	58	0.32778348611346464
27	27	0.32501303867815745
61	61	0.32468755148612277
26	26	0.32173000578635824
40	40	0.31850389628257836
16	16	0.31835309224360714
63	63	0.3152566271787705
51	51	0.31468940506789467
46	46	0.3066857746302543
62	62	0.30350754649807077
33	33	0.3027899675660241
44	44	0.30121814483127285
76	76	0.29430862256908796
59	59	0.28501984439063277
13	13	0.27846411272163457
53	53	0.2751308434215425
21	21	0.26988717086091274
73	73	0.26617647520799453
7	7	0.2656556484513556
52	52	0.2619892172209829
43	43	0.26038854885166285
57	57	0.25092342134979306
24	24	0.2428870044769386
5	5	0.23687611119915203
71	71	0.22435309450529212
0	0	0.21360003499244332
42	42	0.2121641671533244
56	56	0.21118645895512994
